"","Entry","Env","Rep","y"
"1",1,1,1,36.4
"2",1,1,2,41.3
"3",1,1,3,51.7
"4",2,1,1,40
"5",2,1,2,38.9
"6",2,1,3,37.1
"7",3,1,1,32.4
"8",3,1,2,30.9
"9",3,1,3,25.5
"10",4,1,1,33.5
"11",4,1,2,40.1
"12",4,1,3,47.4
"13",5,1,1,41.3
"14",5,1,2,43.6
"15",5,1,3,39.5
"16",6,1,1,27.9
"17",6,1,2,36.3
"18",6,1,3,36.1
"19",7,1,1,38.5
"20",7,1,2,43
"21",7,1,3,40.6
"22",8,1,1,38.6
"23",8,1,2,29.6
"24",8,1,3,28.6
"25",9,1,1,41.6
"26",9,1,2,34.4
"27",9,1,3,32.8
"28",10,1,1,22.6
"29",10,1,2,35.1
"30",10,1,3,33
"31",1,2,1,22.6
"32",1,2,2,39.4
"33",1,2,3,30.2
"34",2,2,1,42.6
"35",2,2,2,28.2
"36",2,2,3,29.5
"37",3,2,1,52.8
"38",3,2,2,45.8
"39",3,2,3,32.9
"40",4,2,1,20.3
"41",4,2,2,28.6
"42",4,2,3,29.5
"43",5,2,1,38.3
"44",5,2,2,35.4
"45",5,2,3,47.6
"46",6,2,1,39.4
"47",6,2,2,36.5
"48",6,2,3,40.3
"49",7,2,1,36.5
"50",7,2,2,37.4
"51",7,2,3,30.8
"52",8,2,1,31.7
"53",8,2,2,21
"54",8,2,3,30
"55",9,2,1,22.8
"56",9,2,2,25.4
"57",9,2,3,34.5
"58",10,2,1,33.2
"59",10,2,2,28.3
"60",10,2,3,35.8
"61",1,3,1,21.8
"62",1,3,2,26.4
"63",1,3,3,22.6
"64",2,3,1,27.1
"65",2,3,2,27.7
"66",2,3,3,17.7
"67",3,3,1,28.6
"68",3,3,2,36.8
"69",3,3,3,35.6
"70",4,3,1,25.5
"71",4,3,2,21.5
"72",4,3,3,32.8
"73",5,3,1,28.5
"74",5,3,2,29.6
"75",5,3,3,25.8
"76",6,3,1,24.5
"77",6,3,2,31.5
"78",6,3,3,28.8
"79",7,3,1,27.1
"80",7,3,2,25.8
"81",7,3,3,28
"82",8,3,1,25.4
"83",8,3,2,17.3
"84",8,3,3,24.8
"85",9,3,1,22.4
"86",9,3,2,24.3
"87",9,3,3,26.7
"88",10,3,1,32.4
"89",10,3,2,24.3
"90",10,3,3,29.8
"91",1,4,1,31.2
"92",1,4,2,25.4
"93",1,4,3,23.7
"94",2,4,1,20.2
"95",2,4,2,29.7
"96",2,4,3,23.9
"97",3,4,1,28
"98",3,4,2,26.3
"99",3,4,3,32.2
"100",4,4,1,21.3
"101",4,4,2,33.7
"102",4,4,3,34.7
"103",5,4,1,36.9
"104",5,4,2,29.8
"105",5,4,3,30.6
"106",6,4,1,41.2
"107",6,4,2,26.3
"108",6,4,3,28.3
"109",7,4,1,27.9
"110",7,4,2,25.9
"111",7,4,3,27.2
"112",8,4,1,20.6
"113",8,4,2,25.3
"114",8,4,3,23.9
"115",9,4,1,20.9
"116",9,4,2,30.2
"117",9,4,3,23.8
"118",10,4,1,20.8
"119",10,4,2,17.8
"120",10,4,3,15
"121",1,5,1,24.3
"122",1,5,2,34.3
"123",1,5,3,36.5
"124",2,5,1,28.2
"125",2,5,2,30.2
"126",2,5,3,30.1
"127",3,5,1,20.3
"128",3,5,2,26.6
"129",3,5,3,35.1
"130",4,5,1,32.2
"131",4,5,2,28.1
"132",4,5,3,28.2
"133",5,5,1,18.5
"134",5,5,2,29.2
"135",5,5,3,34.5
"136",6,5,1,28.1
"137",6,5,2,40.1
"138",6,5,3,42.1
"139",7,5,1,22
"140",7,5,2,28.2
"141",7,5,3,38.7
"142",8,5,1,30.7
"143",8,5,2,27.7
"144",8,5,3,15.1
"145",9,5,1,32.4
"146",9,5,2,37
"147",9,5,3,25.4
"148",10,5,1,26.1
"149",10,5,2,32.04
"150",10,5,3,38.1
